_id,permit_number,s_name,s_address,city,z_code,p_fee,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,status,latitude,longitude
1751930,PAA150154,SAKS,350 OLIVER AVE,PITTSBURGH,15222,650,901,"ABMECH ACQUISITIONS, LLC",MIRROR MASTIC;PIPEINSULATION;FLOOR TILE/MASTIC;ELEVATOR DOORS IN BASEMENT THRU 3RD FLOOR;GASKETING IN BASEMENT THRU PENTHOUSE AND WINDOW CAULKING ON ROOF PENTHOUSE,73330,f,2015-04-01,2015-12-31,JOE YAKUBISIN,t,f,2015-12-31,PAA,COMPLETE,40.4408035304267,-79.9986280235905
1751931,PAA140429,UPMC SHADYSIDE,5230 CENTRE AVE.,PITTSBURGH,15232,150,905,"BLT CONTRACTING, INC.",MRI-LOW ROOF,250,t,2014-10-31,2015-10-31,JOE YAKUBISIN,t,f,2015-10-31,PAA,COMPLETE,40.4546642584153,-79.9395872787866
1751932,PAA190194,PITTSBURGH MINADEO PRE K-5,6502 LILAC ST,PITTSBURGH,15217,850,921,GRAY WASTE MANAGEMENT CORPORATION,MULTIPLE MATERIALS IN MULTIPLE AREAS - SEE ATTACHED,1041,t,2019-04-16,2020-04-15,JOE YAKUBISIN,t,f,2020-04-15,PAA,COMPLETE,40.4234265447863,-79.9257203177536
1751933,UND220058,WILLIAM S MOOREHEAD FEDERAL BUILDING,1000  LIBERTY AVE,PITTSBURGH,15222,0,,,REMOVAL OF ELEVATOR BRAKE SHOE BY NEUMEYER ENVIRONMENTAL,10,t,2022-08-18,2022-08-19,CALI FEENEY,f,f,2022-08-19,UND,COMPLETE,40.4434190143884,-79.9946158625346
1751934,DEM220290,CITY OF PITTSBURGH REGULATED PROPERTY,633  HOLLACE ST,PITTSBURGH,15219,0,,,REMOVAL OF EXTERIOR DOOR & WINDOW CAULK,18,f,2022-12-02,2023-03-02,CALI FEENEY,f,f,2023-03-02,DEM,COMPLETE,40.4507097667443,-79.9680900344894
1751935,DEM220289,RESIDENTIAL STRUCTURE,926  TYSON ST,PITTSBURGH,15208,0,,,REMOVAL OF EXTERIOR DOOR & WINDOW CAULK AND BASEMENT FLOOR TILE BY UNIS DEMOLITION,63,f,2022-12-02,2023-03-02,CALI FEENEY,f,f,2023-03-02,DEM,COMPLETE,40.4557961873196,-79.8851736828086
1751936,DEM190065,RESIDENCE,217  ERIE ST,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH THE STRUCTURE AND GRADE THE LOT,800,f,2019-03-18,2019-04-29,MARC ITKIN,t,f,2019-04-29,DEM,COMPLETE,40.3525260136334,-79.8750865472735
1751937,DEM190072,RESIDENCE - 352 28TH STREET,,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH THE STRUCTURE AND GRADE THE LOT,700,f,2019-04-01,2019-05-10,MARC ITKIN,t,f,2019-05-10,DEM,COMPLETE,40.3461769656623,-79.8821441090236
1751938,DEM190073,RESIDENCE,429  26TH ST,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH THE STRUCTURE AND GRADE THE LOT,800,f,2019-04-01,2019-05-10,MARC ITKIN,t,f,2019-05-10,DEM,COMPLETE,40.3357499656423,-79.8465804621646
1751939,DEM190081,RESIDENCE,213  PACIFIC AVE,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH THE STRUCTURE AND GRADE THE LOT,700,f,2019-03-25,2019-05-06,MARC ITKIN,t,f,2019-05-06,DEM,COMPLETE,40.350903314114,-79.8738785387036
1751940,DEM190082,RESIDENCE,501  MONTEREY ST,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH THE STRUCTURE AND GRADE THE LOT,1000,f,2019-03-25,2019-05-06,MARC ITKIN,t,f,2019-05-06,DEM,COMPLETE,40.3479255531388,-79.8772892436179
1751941,PAA170611,1300 N. MURTLAND  AVE,1300 N MURTLAND ST,PITTSBURGH,15208,850,920,GENERAL CONTRACTING CORP. OF AMERICA,DEMOLISH THE STRUCTURE AND GRADE THE LOT,1725,f,2017-11-16,2017-11-30,SHANNON SANDBERG,t,f,2017-11-30,PAA,COMPLETE,40.4619375261537,-79.8997563322393
1751942,DEM200046,MARY S BROWN-AMES UNITED METHODIST CHURCH,3424 BEECHWOOD BLVD,PITTSBURGH,15217,0,920,GENERAL CONTRACTING CORP. OF AMERICA,DEMOLISH THE STRUCTURE AND GRADE THE LOT - ACM ABATED UNDER PERMIT NUMBER PAA19-0659,,f,2020-03-14,2020-04-24,ELIZABETH LETURGEY,t,f,2020-04-24,DEM,COMPLETE,40.4205902568704,-79.9270503170268
1751943,PAA170652,5124 LYTLE STREET - PITTSBURGH; PA 15207,5124 LYTLE ST,PITTSBURGH,15207,850,920,GENERAL CONTRACTING CORP. OF AMERICA,DEMOLISH THE STRUCTURE AND GRADE THE LOT - ALL MATERIAL TREATED AS ACM,784,f,2017-12-07,2017-12-17,JOE YAKUBISIN,t,f,2017-12-17,PAA,COMPLETE,40.4058544974844,-79.9451357285146
1751944,PAA170653,217 LAYFAYETTE AVENUE - PITTSBURGH; PA 15214,217  LAFAYETTE AVE,PITTSBURGH,15214,850,920,GENERAL CONTRACTING CORP. OF AMERICA,DEMOLISH THE STRUCTURE AND GRADE THE LOT - ALL MATERIAL TREATED AS ACM,1432,f,2017-12-07,2017-12-17,JOE YAKUBISIN,t,f,2017-12-17,PAA,COMPLETE,40.4652200488353,-80.0093905348287
1751945,PAA150044,CITIZEN'S BANK - OAKMONT BRANCH,524 ALLEGHENY RIVER BLVD.,OAKMONT,15139,350,908,"BRISTOL ENVIRONMENTAL, INC.",DRYWALL COMPOUND AND CARPET MASTIC ON MAIN FLOOR,582,t,2015-02-02,2015-04-17,JOE YAKUBISIN,t,f,2015-02-28,PAA,COMPLETE,40.5184157259331,-79.8424378109546
1751946,PAA150043,CITIZEN'S BANK - HAMPTON BRANCH,4761 ROUTE 8,ALLISON PARK,15101,150,908,"BRISTOL ENVIRONMENTAL, INC.",DRYWALL COMPOUND ON MAIN FLOOR,192,t,2015-02-02,2015-02-28,JOE YAKUBISIN,t,f,2015-02-28,PAA,COMPLETE,40.5955447376108,-79.9481738331821
1751947,PAA170041,,1256  HAMILTON RD,CASTLE SHANNON,15234,650,911,"MASA, LLC DBA CANFIELD DEVELOPMENT",DRYWALL JOINT COMPOUND ON 2ND FLOOR BEDROOM/STAIRWELL,2000,f,2017-01-16,2017-03-31,JOE YAKUBISIN,t,f,2017-03-31,PAA,COMPLETE,40.3643566390639,-80.0168534788731
1751948,PAA150058,,4800 - 4818 PENN AVE.,PITTSBURGH,15219,650,941,"PRISM RESPONSE, LLC DBA ALLOY",FLOOR TILE/MASTIC IN 3 APARTMENTS;ROOF AND WINDOW CAULKING,18210,f,2015-01-28,2015-02-28,JOE YAKUBISIN,t,f,2015-02-28,PAA,COMPLETE,,
1751949,PAA150377,MSA - EVERGREEN HEIGHTS,115 EVERGREEN HEIGHTS,PITTSBURGH,15229,350,941,"PRISM RESPONSE, LLC DBA ALLOY",FLOOR TILE/MASTIC IN 4TH FLOOR RESTROOM AREA,800,t,2015-08-01,2015-08-30,JOE YAKUBISIN,t,f,2015-08-30,PAA,COMPLETE,40.5184475243026,-80.0151301299441
1751950,PAA150323,SAINT LOUISE DE MARILLAC,310 MCMURRAY ROAD,PITTSBURGH,15241,650,941,"PRISM RESPONSE, LLC DBA ALLOY",FLOOR TILE/MASTIC IN ADMIN.OFFICES;GYM ENTRANCE;MEN/WOMEN ROOMS AND CONCESSION STAND,3100,t,2015-06-29,2015-07-10,DON HORGAN,t,f,2015-07-10,PAA,COMPLETE,40.3169401563001,-80.0722394137689
1751951,PAA160421,ALLEGHENY COUNTY HOUSING AUTHORITY,314  COMMERCE ST,WILMERDING,15148,650,911,"MASA, LLC DBA CANFIELD DEVELOPMENT",FLOOR TILE/MASTIC IN APTS 1-A;1-J AND PIPE INSULATION IN APT 1-J,1070,f,2016-09-19,2016-10-01,JOE YAKUBISIN,t,f,2016-10-01,PAA,COMPLETE,40.3929268069841,-79.8077211724676
1751952,PAA160265,CHARTIERS VALLEY HIGH SCHOOL,50 THOMS RUN RD,BRIDGEVILLE,15017,650,931,PHASE ONE DEVELOPMENT CORPORATION,FLOOR TILE/MASTIC IN AUDITORIUM,6800,t,2016-06-13,2017-06-13,JOE YAKUBISIN,t,f,2017-06-13,PAA,COMPLETE,40.378788791577,-80.1025406961975
1751953,PAA150532,ACHD - LAWRENCEVILLE;BUILDING 7,3901 PENN AVE,PITTSBURGH,15224,650,931,PHASE ONE DEVELOPMENT CORPORATION,FLOOR TILE/MASTIC IN BASEMENT AND 1ST FLOOR,2640,t,2015-11-17,2016-11-17,JOE YAKUBISIN,t,f,2016-11-17,PAA,COMPLETE,40.465556298995,-79.9602944506386
1751954,PAA170299,504 NORMAN STREET,504  NORMAN ST,PITTSBURGH,15214,850,921,GRAY WASTE MANAGEMENT CORPORATION,REMOVAL AND DISPOSAL OF EXTERIOR SIDING AND ROOFING MATERIAL,1500,f,2017-06-09,2017-12-31,JOE YAKUBISIN,t,f,2017-12-31,PAA,COMPLETE,40.4623861297751,-80.0141532706389
1751955,PAA170311,LANGLEY K-8 SCHOOL,2940 SHERADEN BLVD,PITTSBURGH,15204,850,903,"AMERICAN INDUSTRIAL CONTRACTING, INC.",REMOVAL OF ACM FLOOR TILE/MASTIC; TERRAZO FLOORING; CARPET/ACM MASTIC; CEILING TILE/ACM MASTIC; PIPE/FITTING INSULATION IN VARIOUS LOCATIONS,18000,t,2017-06-14,2017-08-09,JOE YAKUBISIN,t,f,2017-08-09,PAA,COMPLETE,40.4545398606462,-80.0546727557361
1751956,RES220067,RESIDENCE,1117  WOODLAND AVE,PORT VUE,15133,0,,,REMOVAL OF ATTIC LINOLEUM BY AMERICAN CONTRACTING ENTERPRISES,80,t,2022-08-08,2022-11-25,CALI FEENEY,f,f,2022-11-25,RES,COMPLETE,40.3363050447368,-79.879406874827
1751957,UND220069,WESTINGHOUSE LODGE,700  BARCLAY AVE,FOREST HILLS,15221,0,,,REMOVAL OF BASEMENT BACK CLOSET BOILER PIPE INSULATION,40,t,2022-09-10,2022-09-17,NICHOLAS DELPHIA,f,f,2022-09-17,UND,COMPLETE,40.4182299898465,-79.8418033981906
1751958,DEM220208,CITY OF PITTSBURGH REGULATED PROPERTY,2703  ELLIS ST,PITTSBURGH,15214,0,,,REMOVAL OF BASEMENT DUCT TAPE,5,f,2022-10-05,2022-12-21,NICHOLAS DELPHIA,f,f,2022-12-21,DEM,COMPLETE,40.4726337833559,-80.0113402316025
1751959,UND220086,CITY OF MCKEESPORT REGULATED PROPERTY,220  EXPRESS ALY,MCKEESPORT,15132,0,,,REMOVAL OF BASEMENT DUCT WRAP BY TRIFECTA,150,f,2022-10-24,2023-10-31,CALI FEENEY,f,f,2023-10-31,UND,COMPLETE,40.3525421196311,-79.8744091652467
1751960,RES220076,RESIDENCE,1358  HAWTHORNE ST,PITTSBURGH,15201,0,,,REMOVAL OF BASEMENT FLOOR TILE & MASTIC BY AMERICAN CONTRACTING ENTERPRISES; INC,690,t,2022-08-29,2022-12-31,KIMBERLY CAMPBELL,f,f,2022-12-31,RES,COMPLETE,40.4827288850912,-79.9358390084655
1751961,RES220066,RESIDENCE,328  CANTERBURY DR,PITTSBURGH,15238,0,,,REMOVAL OF BASEMENT HVAC DUCT WRAP & BASEMENT FLOOR TILE BY HEALTHY ENVIRONMENTS,440,t,2022-08-09,2022-08-10,KIMBERLY CAMPBELL,f,f,2022-08-10,RES,COMPLETE,40.493642670463,-79.875216309052
1751962,UND220078,CITY OF MCKEESPORT REGULATED PROPERTY,1303  PATTERSON AVE,MCKEESPORT,15132,0,,,REMOVAL OF BASEMENT STAIRS INSULATION BY TRIFECTA,3,f,2022-10-24,2023-10-31,DANIEL ZOLDOS,f,f,2023-10-31,UND,COMPLETE,40.3442797907987,-79.8373723862379
1751963,UND220079,700-702 MCINTOSH ROAD - CITY OF MCKEESPORT REGULATED PROPERTY,700  MCINTOSH RD,MCKEESPORT,15132,0,,,REMOVAL OF BASEMENT WHITE DUCT TAP AND EXTERIOR CHIMNEY TAR BY TRIFECTA,45,f,2022-10-24,2023-10-31,DANIEL ZOLDOS,f,f,2023-10-31,UND,COMPLETE,40.3233476501721,-79.8242515446222
1751964,DEM220205,CITY OF PITTSBURGH REGULATED PROPERTY,618  EXCELSIOR ST,PITTSBURGH,15210,0,,,REMOVAL OF EXTERIOR WINDOW CAULKING AND ENTRY HALL PIPE WRAP BY SUPERIOR ENVIRONMENTAL CONTRACTING,125,f,2022-09-29,2022-12-29,CALI FEENEY,f,f,2022-12-29,DEM,COMPLETE,40.4225970716734,-79.9965733495847
1751965,RES220073,RESIDENCE,398  WOODCLIFF CIR,SCOTT,15243,0,,,REMOVAL OF FLOOR TILE & MASTIC BY AMERICAN CONTRACTING ENTERPRISES; INC,270,f,2022-08-26,2022-12-02,NICHOLAS DELPHIA,f,f,2022-12-02,RES,COMPLETE,40.3657259197112,-80.0879515532402
1751966,PAA170304,UPMC MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,400,940,"SPECTRUM ENVIRONMENTAL, LLC",REMOVAL OF FLOOR TILE & MASTIC IN THE 3RD FLOOR MRI WING HALLWAY EAST,300000,t,2017-06-02,2017-12-30,JOE YAKUBISIN,t,f,2017-12-30,PAA,COMPLETE,40.4360439740714,-79.9854587006851
1751967,PAA170280,UNIVERSITY OF PITTSBURGH P0SVAR HALL 4TH FLOOR,230 S BOUQUET ST,PITTSBURGH,15213,250,940,"SPECTRUM ENVIRONMENTAL, LLC",REMOVAL OF FLOOR TILE & MASTIC IN THE 4TH FLOOR BEHAVIOR LAB & CUE SCHOOL OF EDU.,300000,t,2017-05-26,2017-12-31,JOE YAKUBISIN,t,f,2017-12-31,PAA,COMPLETE,40.4412696613065,-79.9544987907977
1751968,PAA170314,UNIVERISTY OF PITTSBURGH POSVAR HALL,230 S BOUQUET ST,PITTSBURGH,15213,250,940,"SPECTRUM ENVIRONMENTAL, LLC",REMOVAL OF FLOOR TILE & MASTIC ON THE 3RD & 4TH FLOORS,580,t,2017-06-07,2017-12-31,JOE YAKUBISIN,t,f,2017-12-31,PAA,COMPLETE,40.4412696613065,-79.9544987907977
1751969,RES220062,RESIDENCE,1004  WELFER ST,PITTSBURGH,15217,0,,,REMOVAL OF GARAGE; BASEMENT & STAIRS FLOOR TILE BY AMERICAN CONTRACTING,675,t,2022-07-21,2022-09-02,AARON MAKATURA,f,f,2022-09-02,RES,COMPLETE,40.425679558832,-79.9312778368277
1751970,DEM220195,CITY OF PITTSBURGH REGULATED PROPERTY,2006 MOUNTFORD AVE,PITTSBURGH,15214,0,,,REMOVAL OF KITCHEN SHEET FLOORING BY UNIS DEMOLITION COMPANY,150,f,2022-09-23,2022-12-23,CALI FEENEY,f,f,2022-12-23,DEM,COMPLETE,40.464031221446,-80.0073915682943
1751971,PAA160504,FORMER MACY'S,430  5TH AVE,PITTSBURGH,15219,150,938,TRITON HOLDINGS,REMOVAL OF PLASTER CEILING AND PIPE INSULATION ON 9TH FLOOR AND 10TH FLOOR,21380,f,2016-11-14,2017-03-17,SHANNON SANDBERG,t,f,2017-03-17,PAA,COMPLETE,40.4467547536353,-79.9476804157173
1751972,UND220057,PRODUCE TERMINAL,2100 SMALLMAN ST,PITTSBURGH,15222,0,,,REMOVAL OF UPPER CLERESTORY ROOF WINDOW GLAZING BY BRISTOL ENVIRONMENTAL; INC,108,t,2022-09-06,2022-11-30,DANIEL ZOLDOS,f,f,2022-10-15,UND,COMPLETE,,
1751973,PAA180712,CITY COUNTY BUILDING MEZZANINIE,414 GRANT ST,PITTSBURGH,15219,850,911,"MASA, LLC DBA CANFIELD DEVELOPMENT",REMOVE  FLOOR TILE FROM MEZZANINE; COURT RECORDS COMPUTER ROOM,1350,f,2018-12-26,2019-01-02,JOE YAKUBISIN,t,f,2019-01-02,PAA,COMPLETE,40.4381146583578,-79.9968595061029
1751974,PAA170654,404 JUCUNDA STREET - PITTSBURGH; PA 15210,404  JUCUNDA ST,PITTSBURGH,15210,850,920,GENERAL CONTRACTING CORP. OF AMERICA,DEMOLISH THE STRUCTURE AND GRADE THE LOT - ALL MATERIAL TREATED AS ACM,1072,f,2017-12-07,2017-12-17,JOE YAKUBISIN,t,f,2017-12-17,PAA,COMPLETE,40.4172035131272,-79.9953005515597
1751975,DEM220308,BOROUGH OF PLUM REGULATED PROPERTY,122  SIPLE ST,PLUM,15239,0,,,DEMOLITION,,f,2022-12-05,2023-12-20,CALI FEENEY,f,f,2023-12-20,DEM,ACTIVE,40.4933676281944,-79.7831774693289
1751976,PAA170209,PPU - ACADEMIC THAYER HALL,201  WOOD ST,PITTSBURGH,15222,850,908,"BRISTOL ENVIRONMENTAL, INC.",FLOOR TILE/MASTIC IN LAB 311;411;611A/B AND TRANSITE COUNTER TOPS IN LAB 311;411,4708,t,2017-05-02,2017-05-31,JOE YAKUBISIN,t,f,2017-05-31,PAA,COMPLETE,40.438473387621,-80.0019297272016
1751977,PAA160557,PPG,440 COLLEGE PARK DR,MONROEVILLE,15146,650,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",FLOOR TILE/MASTIC IN LAB C-138,1040,t,2016-12-15,2016-12-31,JOE YAKUBISIN,t,f,2016-12-31,PAA,COMPLETE,40.4423014501313,-79.7324027374942
1751978,PAA160391,SOUTH FAYETTE TOWNSHIP MUNICIPAL BUILDING,515 MILLERS RUN RD,SOUTH FAYETTE,15064,150,927,KEY ASBESTOS ABATEMENT INC,FLOOR TILE/MASTIC IN LIBRARY,1750,t,2016-08-31,2016-09-30,JOE YAKUBISIN,t,f,2016-09-30,PAA,COMPLETE,40.3557876284338,-80.1440648831255
1751979,PAA160472,,1208  SWISSVALE AVE,WILKINSBURG,15221,650,908,"BRISTOL ENVIRONMENTAL, INC.",FLOOR TILE/MASTIC IN LIVING ROOM/2ND FLOOR BEDROOMS AND TRANSITE SIDING,3350,f,2016-10-24,2016-11-11,JOE YAKUBISIN,t,f,2016-11-11,PAA,COMPLETE,40.4432730409931,-79.876624350304
1751980,PAA150280,WILSON ELEMENTARYSCHOOL,100 BRUNO LN,IMPERIAL,15126,650,931,PHASE ONE DEVELOPMENT CORPORATION,FLOOR TILE/MASTIC IN MULTI-PURPOSE ROOM;CAFETRIA,3200,t,2015-06-12,2016-06-12,DON HORGAN,t,f,2016-06-12,PAA,COMPLETE,40.4442609960725,-80.2669340093503
1751981,PAA160244,MCKEE ELEMENTARY SCHOOL,1501 OAKDALE RD,OAKDALE,15071,650,911,"MASA, LLC DBA CANFIELD DEVELOPMENT",FLOOR TILE/MASTIC IN MULTUPURPOSE ROOM,2200,t,2016-06-15,2016-07-15,JOE YAKUBISIN,t,f,2016-07-15,PAA,COMPLETE,40.4153240374846,-80.1934126875286
1751982,PAA160363,SHULTS FORD,2871  FREEPORT RD,HARMAR,15238,650,925,"KLA ROOFING & CONSTRUCTION, LLC",FLOOR TILE/MASTIC IN OFFICE;BREACROOM;STAIRWELL;CAULKING ON GARAGE DOOR AND ROOFING,1270,f,2016-08-15,2017-05-17,JOE YAKUBISIN,t,f,2017-05-17,PAA,COMPLETE,40.5391640263607,-79.8310797932735
1751983,PAA150374,COUNTY OFFICE BUILDING,542 FORBES AVE.,PITTSBURGH,15219,650,911,"MASA, LLC DBA CANFIELD DEVELOPMENT",FLOOR TILE/MASTIC IN PHOTO LAB AND RECORDER OF DEEDS,4040,f,2015-08-10,2015-10-30,JOE YAKUBISIN,t,f,2015-10-30,PAA,COMPLETE,40.4377527428062,-79.9958806222119
1751984,PAA140076,BALDWIN MUNICIPAL BUILDING,3344 CHURCHVIEW AVE,PITTSBURGH,15227,150,927,KEY ASBESTOS ABATEMENT INC,FLOOR TILE/MASTIC IN POLICE LOCKER ROOM,230,t,2014-03-04,2014-03-31,JOE YAKUBISIN,t,f,2014-03-31,PAA,COMPLETE,40.3834227955233,-79.9569408476708
1751985,PAA140215,SAINT LOUISE DE MARILLAC,310 MCMURRAY ROAD,PITTSBURGH,15241,350,941,"PRISM RESPONSE, LLC DBA ALLOY",FLOOR TILE/MASTIC IN ROOM 102,1700,f,2014-06-16,2014-06-30,JOE YAKUBISIN,t,f,2014-06-30,PAA,COMPLETE,40.3169401563001,-80.0722394137689
1751986,PAA150359,SOUTH PARK MIDDLE SCHOOL,2500 STEWART ROAD,PITTSBURGH,15129,150,903,"AMERICAN INDUSTRIAL CONTRACTING, INC.",FLOOR TILE/MASTIC IN ROOM 124,750,t,2015-07-09,2015-07-10,DON HORGAN,t,f,2015-07-10,PAA,COMPLETE,40.2948427237626,-80.0127414378798
1751987,PAA170184,CMU - BAKER HALL,5000 FORBES AVE,PITTSBURGH,15213,200,927,KEY ASBESTOS ABATEMENT INC,FLOOR TILE/MASTIC IN ROOM 132G,252,t,2017-04-11,2017-04-30,JOE YAKUBISIN,t,f,2017-04-30,PAA,COMPLETE,40.4442129846549,-79.94339909741
1751988,PAA150189,MAGEE WOMEN'S HOSPITAL - GULF BUILDING,327 CRAFT AVE.,PITTSBURGH,15213,150,940,"SPECTRUM ENVIRONMENTAL, LLC",FLOOR TILE/MASTIC IN ROOM 202,230,t,2015-04-29,2015-05-10,JOE YAKUBISIN,t,f,2015-05-10,PAA,COMPLETE,40.4352438846107,-79.9603923531825
1751989,PAA140363,FOX CHAPEL HIGH SCHOOL,611 FIELD CLUB ROAD,PITTSBURGH,15238,150,911,"MASA, LLC DBA CANFIELD DEVELOPMENT",FLOOR TILE/MASTIC IN ROOM 202,40,t,2014-08-25,2014-10-29,JOE YAKUBISIN,t,f,2014-10-29,PAA,COMPLETE,40.5181068090316,-79.8686773482571
1751990,PAA160132,UNIVERSITY OF PITTSBURGH - THACKERY HALL,139 UNIVERSITY PL,PITTSBURGH,15213,150,939,UNIVERSITY OF PITTSBURGH,FLOOR TILE/MASTIC IN ROOM 362,260,t,2016-03-17,2016-04-08,JOE YAKUBISIN,t,f,2016-04-17,PAA,COMPLETE,40.4445093299916,-79.9569959117326
1751991,PAA140387,UNIVERSITY OF PITTSBURGH - SALK HALL,3501 TERRACE ST,PITTSBURGH,15213,150,939,UNIVERSITY OF PITTSBURGH,FLOOR TILE/MASTIC IN ROOM 559,186,t,2014-09-29,2014-12-31,JOE YAKUBISIN,t,f,2014-12-31,PAA,COMPLETE,40.4426888828033,-79.9628372268336
1751992,RES220077,RESIDENCE,415  GOVERNOR DR,HAMPTON,15101,0,,,REMOVAL OF BATHROOM FLOOR TILE BY AMERICAN CONTRACTING ENTERPRISES; INC,50,t,2022-08-29,2022-12-31,CALI FEENEY,f,f,2022-12-31,RES,COMPLETE,40.5539415395317,-79.9605021929802
1751993,UND220050,ARCHANGEL GABRIAL SCHOOL,5720  STEUBENVILLE PIKE,MCKEES ROCKS,15136,0,,,REMOVAL OF BOILER MUD & GASKETS FROM BOILER ROOM BY AMERICAN CONTRACTING ENTERPRISES; INC.,80,t,2022-07-26,2022-09-02,DANIEL ZOLDOS,f,f,2022-09-02,UND,COMPLETE,40.4523153239949,-80.1363291782074
